Team▲▼,Division▲▼,Team rating▲▼,1-Week Change▲▼,RecordProj. rec.▲▼,Run Diff.▲▼,Make PlayoffsMake Play- offs▲▼,Win DivisionWin Div.▲▼,Win World SeriesWin W.S.▲▼,Unnamed: 9,date
Braves47-26Braves,NL East,1569,9.0,99-63,174,99%,90%,19%,,2024-03-24 18:39:24.791076
Rays51-25Rays,AL East,1566,-1.0,100-62,200,98%,75%,16%,,2024-03-24 18:39:24.791076
Dodgers40-33Dodgers,NL West,1552,-10.0,91-71,106,85%,45%,10%,,2024-03-24 18:39:24.791076
Astros40-34Astros,AL West,1548,-11.0,89-73,89,60%,32%,7%,,2024-03-24 18:39:24.791076
Yankees40-33Yankees,AL East,1555,-8.0,91-71,85,68%,10%,7%,,2024-03-24 18:39:24.791076
Rangers44-28Rangers,AL West,1536,2.0,92-70,167,74%,49%,6%,,2024-03-24 18:39:24.791076
Giants41-32Giants,NL West,1529,15.0,88-74,78,71%,26%,5%,,2024-03-24 18:39:24.791076
Padres35-38Padres,NL West,1537,-2.0,84-78,62,44%,10%,4%,,2024-03-24 18:39:24.791076
Blue Jays40-35Blue Jays,AL East,1538,-5.0,88-74,47,50%,5%,3%,,2024-03-24 18:39:24.791076
Phillies38-35Phillies,NL East,1524,5.0,85-77,9,50%,5%,3%,,2024-03-24 18:39:24.791076
Angels41-34Angels,AL West,1519,,86-76,39,39%,15%,2%,,2024-03-24 18:39:24.791076
Brewers38-35Brewers,NL Central,1515,1.0,84-78,-11,55%,49%,2%,,2024-03-24 18:39:24.791076
Twins36-38Twins,AL Central,1516,-11.0,83-79,48,52%,50%,2%,,2024-03-24 18:39:24.791076
Orioles45-27Orioles,AL East,1510,-1.0,89-73,33,58%,8%,2%,,2024-03-24 18:39:24.791076
Guardians34-38Guardians,AL Central,1516,,82-80,3,42%,41%,2%,,2024-03-24 18:39:24.791076
Diamondbacks44-30Dbacks,NL West,1505,,87-75,21,60%,19%,2%,,2024-03-24 18:39:24.791076
Red Sox39-34Red Sox,AL East,1524,14.0,85-77,57,35%,2%,2%,,2024-03-24 18:39:24.791076
Mets33-39Mets,NL East,1525,3.0,81-81,5,24%,1%,2%,,2024-03-24 18:39:24.791076
Marlins42-32Marlins,NL East,1502,9.0,85-77,-24,48%,4%,1%,,2024-03-24 18:39:24.791076
Mariners35-36Mariners,AL West,1512,-2.0,81-81,15,14%,4%,<1%,,2024-03-24 18:39:24.791076
Cubs35-38Cubs,NL Central,1494,10.0,79-83,21,26%,21%,<1%,,2024-03-24 18:39:24.791076
Cardinals30-43Cardinals,NL Central,1501,2.0,75-87,-10,9%,7%,<1%,,2024-03-24 18:39:24.791076
Reds39-35Reds,NL Central,1473,10.0,79-83,-48,25%,20%,<1%,,2024-03-24 18:39:24.791076
White Sox32-43White Sox,AL Central,1483,1.0,74-88,-70,8%,8%,<1%,,2024-03-24 18:39:24.791076
Pirates34-38Pirates,NL Central,1457,-12.0,72-90,-96,4%,3%,<1%,,2024-03-24 18:39:24.791076
Tigers31-41Tigers,AL Central,1450,5.0,69-93,-137,2%,2%,<1%,,2024-03-24 18:39:24.791076
Rockies29-47Rockies,NL West,1436,-9.0,63-99,-186,<1%,<1%,<1%,,2024-03-24 18:39:24.791076
Nationals27-44Nationals,NL East,1433,-5.0,63-99,-148,<1%,<1%,<1%,,2024-03-24 18:39:24.791076
Royals20-53Royals,AL Central,1421,-3.0,53-109,-221,<1%,<1%,<1%,,2024-03-24 18:39:24.791076
Athletics19-55Athletics,AL West,1404,-5.0,51-111,-307,<1%,<1%,<1%,,2024-03-24 18:39:24.791076
