Name,Team,ShortName,W,L,ERA,GS,G,SV,HLD,BS,IP,TBF,H,R,ER,HR,SO,BB,IBB,HBP,WHIP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,GB%,AVG,BABIP,LOB%,FIP,WAR,RA9-WAR,QS,ADP,teamid,League,PlayerName,playerid,.,date
"<a href=""statss.aspx?playerid=16149&position=P"">Aaron Nola</a>",PHI,Phillies,14,10,3.34035,31,31,0,0,,194.0,786,167,78,72,21,209,39,2,9,1.06356,9.69041,1.82288,5.31599,0.991659,0.266001,0.0500379,0.2159631662070751,,0.226526,0.287228,0.728756,3.13188,5.0602,4.16334,14.0,33.560001373291016,26,NL,Aaron Nola,16149,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=18684&position=P"">Sandy Alcantara</a>",MIA,Marlins,14,10,3.32725,30,30,0,0,,202.0,824,177,81,74,16,185,49,2,9,1.11969,8.24259,2.17257,3.79394,0.722601,0.223982,0.0590368,0.164945300668478,,0.231064,0.2845,0.713928,3.18805,4.96568,4.36556,14.0,29.709999084472656,20,NL,Sandy Alcantara,18684,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=27498&position=P"">Spencer Strider</a>",ATL,Braves,13,7,3.05981,29,29,0,0,,167.0,686,127,61,57,16,226,58,1,7,1.10873,12.181,3.14801,3.86942,0.839169,0.329898,0.0852578,0.244640477001667,,0.204663,0.294352,0.758113,2.80062,4.96017,4.28665,12.0,26.09000015258789,16,NL,Spencer Strider,27498,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=19361&position=P"">Corbin Burnes</a>",MIL,Brewers,14,10,3.34987,31,31,0,0,,191.0,781,159,77,71,20,221,53,1,9,1.10857,10.4307,2.48109,4.20409,0.938576,0.283094,0.0673377,0.2157559394836425,,0.220958,0.29072,0.733966,3.1236,4.82678,4.07442,14.0,16.280000686645508,23,NL,Corbin Burnes,19361,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=10954&position=P"">Jacob deGrom</a>",TEX,Rangers,11,7,2.73287,24,24,0,0,,138.0,538,95,45,42,14,192,32,1,4,0.922163,12.498,2.08387,5.99749,0.933827,0.355948,0.0593495,0.2965987585484981,,0.18971,0.273216,0.768321,2.46668,4.75484,4.18784,9.0,31.25,13,AL,Jacob deGrom,10954,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=10310&position=P"">Zack Wheeler</a>",PHI,Phillies,13,9,3.4312,30,30,0,0,,185.0,762,168,76,70,17,178,46,2,8,1.1564,8.70014,2.23797,3.88751,0.824523,0.234096,0.0602175,0.1738785058259964,,0.236591,0.293735,0.724483,3.24817,4.5653,3.78582,12.0,54.79999923706055,26,NL,Zack Wheeler,10310,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=3137&position=P"">Max Scherzer</a>",NYM,Mets,12,9,3.32203,27,27,0,0,,164.0,663,132,65,61,20,196,38,1,8,1.035,10.7421,2.07526,5.17625,1.10618,0.295519,0.0570914,0.2384279705584049,,0.213925,0.278872,0.738357,3.15892,4.44435,3.62467,11.0,42.9900016784668,25,NL,Max Scherzer,3137,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=19755&position=DH"">Shohei Ohtani</a>",LAA,Angels,13,9,3.17665,29,29,0,0,,167.0,681,132,63,59,17,202,52,1,7,1.09876,10.9029,2.78401,3.91627,0.910838,0.296599,0.075735,0.2208637148141861,,0.211599,0.28461,0.751407,3.06618,4.42536,4.05358,11.0,8.279999732971191,1,AL,Shohei Ohtani,19755,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=8700&position=P"">Justin Verlander</a>",NYM,Mets,12,9,3.22164,28,28,0,0,,168.0,676,133,65,60,20,191,40,1,7,1.02795,10.2392,2.12734,4.81313,1.07678,0.283061,0.0588101,0.2242509014904499,,0.211419,0.270202,0.745989,3.21773,4.39919,3.8941,11.0,39.18000030517578,25,NL,Justin Verlander,8700,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=13125&position=P"">Gerrit Cole</a>",NYY,Yankees,15,10,3.47265,31,31,0,0,,194.0,787,158,80,75,26,234,52,1,6,1.0811,10.8611,2.39424,4.53636,1.22128,0.296997,0.0654702,0.2315263897180557,,0.216317,0.2801,0.747059,3.34894,4.38812,3.93667,15.0,15.869999885559082,9,AL,Gerrit Cole,13125,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=13743&position=P"">Max Fried</a>",ATL,Braves,14,9,3.45735,30,30,0,0,,183.0,756,170,76,70,16,165,44,2,7,1.17233,8.10837,2.17394,3.7298,0.791263,0.217762,0.0583842,0.1593775078654289,,0.241364,0.293938,0.72077,3.29619,4.12906,3.65193,12.0,66.18000030517578,16,NL,Max Fried,13743,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=21483&position=P"">Shane McClanahan</a>",TBR,Rays,12,10,3.31803,29,29,0,0,,172.0,706,147,69,64,18,192,49,2,5,1.13635,10.0511,2.56849,3.91324,0.948913,0.272445,0.0696214,0.2028238251805305,,0.22477,0.290802,0.74466,3.18913,4.06628,3.70544,10.0,39.88999938964844,12,AL,Shane McClanahan,21483,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=19427&position=P"">Shane Bieber</a>",CLE,Guardians,13,10,3.65402,30,30,0,0,,192.0,793,177,85,78,22,186,48,1,6,1.17453,8.70184,2.2534,3.86164,1.01457,0.233915,0.060574,0.1733411066234111,,0.239872,0.292606,0.72181,3.48638,4.05143,3.24984,13.0,53.84999847412109,5,AL,Shane Bieber,19427,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=14765&position=P"">Julio Urías</a>",LAD,Dodgers,13,9,3.4602,30,31,0,0,,178.0,724,152,74,69,21,170,41,2,7,1.08098,8.5865,2.04585,4.19704,1.06828,0.234699,0.0559202,0.1787789165973663,,0.224606,0.26942,0.727215,3.54034,4.0046,3.52922,9.0,58.310001373291016,22,NL,Julio Urías,14765,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=17995&position=P"">Logan Webb</a>",SFG,Giants,13,11,3.75131,32,32,0,0,,189.0,799,193,85,79,13,152,51,1,9,1.29451,7.25856,2.41772,3.00223,0.634187,0.190291,0.0633834,0.1269080713391304,,0.261485,0.313631,0.703444,3.36047,3.97573,3.05335,13.0,109.51000213623048,30,NL,Logan Webb,17995,,2023-04-04 22:27:18.126439
"<a href=""statss.aspx?playerid=16162&position=P"">Brandon Woodruff</a>",MIL,Brewers,12,10,3.57539,29,29,0,0,,173.0,713,147,74,69,20,193,49,1,8,1.13488,10.03,2.54772,3.93684,1.05166,0.270338,0.0686687,0.201669380068779,,0.224405,0.286582,0.728002,3.3823,3.97102,3.21166,12.0,34.970001220703125,23,NL,Brandon Woodruff,16162,,2023-04-04 22:27:18.126439
