Team,Mean Wins,Mean Losses,Max Wins,Min Wins,St.Dev,Win Division (%),Make Wild Card (%),Make Playoffs (%),Win League (%),Win WS (%),Division,date
ARI,80,82,121,44,9.943112417735588,6.56,26.78,33.34,3.21,1.29,NL West,2026-03-24 16:18:07.978623
ATH,79,83,117,41,9.954251319585346,11.85,15.25,27.1,3.19,1.31,AL West,2026-03-24 16:18:07.978623
ATL,87,75,127,49,9.911968020176506,27.04,35.73,62.77,9.7,4.89,NL East,2026-03-24 16:18:07.978623
BAL,86,76,123,44,10.02204639336173,19.22,34.4,53.62,9.3,4.61,AL East,2026-03-24 16:18:07.978623
BOS,87,75,124,50,10.023422980220486,20.95,35.44,56.39,10.18,5.04,AL East,2026-03-24 16:18:07.978623
CHC,86,76,125,52,9.832720417923076,42.2,19.02,61.22,8.91,4.37,NL Central,2026-03-24 16:18:07.978623
CHW,69,93,113,32,9.866030341795824,2.93,3.02,5.95,0.47,0.19,AL Central,2026-03-24 16:18:07.978623
CIN,77,85,118,42,9.922909863896214,11.62,11.85,23.47,2.01,0.78,NL Central,2026-03-24 16:18:07.978623
CLE,76,86,119,39,9.935847302222442,11.53,9.76,21.29,2.13,0.8,AL Central,2026-03-24 16:18:07.978623
COL,63,99,106,23,9.564677482422876,0.21,1.77,1.98,0.11,0.03,NL West,2026-03-24 16:18:07.978623
DET,87,75,122,50,10.058061782860591,48.57,14.14,62.71,11.37,5.42,AL Central,2026-03-24 16:18:07.978623
HOU,83,79,122,48,10.023713349800381,21.14,21.41,42.56,6.14,2.8,AL West,2026-03-24 16:18:07.978623
KCR,81,81,122,38,9.96220661879361,20.84,14.5,35.34,4.28,1.81,AL Central,2026-03-24 16:18:07.978623
LAA,70,92,110,30,9.860507972760502,2.37,4.81,7.17,0.56,0.22,AL West,2026-03-24 16:18:07.978623
LAD,99,63,132,57,9.635157159599126,75.94,17.41,93.36,32.39,19.62,NL West,2026-03-24 16:18:07.978623
MIA,72,90,116,37,9.943828130850543,2.5,9.69,12.19,0.95,0.36,NL East,2026-03-24 16:18:07.978623
MIL,81,81,123,46,9.866332338979422,21.11,16.8,37.91,3.98,1.8,NL Central,2026-03-24 16:18:07.978623
MIN,79,83,112,36,9.95542731399059,16.14,12.52,28.66,3.26,1.38,AL Central,2026-03-24 16:18:07.978623
NYM,90,72,126,53,9.92000729018038,34.85,35.63,70.48,13.06,6.54,NL East,2026-03-24 16:18:07.978623
NYY,88,74,126,46,9.921886011797412,25.36,37.04,62.41,12.53,6.41,AL East,2026-03-24 16:18:07.978623
PHI,89,73,127,53,9.893233788870033,34.96,34.88,69.84,12.6,6.62,NL East,2026-03-24 16:18:07.978623
PIT,79,83,119,42,10.05136919484776,17.66,15.45,33.11,2.99,1.29,NL Central,2026-03-24 16:18:07.978623
SDP,83,79,121,45,9.963945178501143,9.94,33.65,43.59,4.79,2.19,NL West,2026-03-24 16:18:07.978623
SEA,89,73,124,45,9.863513389371898,46.64,20.69,67.33,14.55,7.08,AL West,2026-03-24 16:18:07.978623
SFG,81,81,122,47,10.024270750418879,7.34,29.36,36.7,3.96,1.8,NL West,2026-03-24 16:18:07.978623
STL,74,88,114,37,9.960237381404882,7.41,8.56,15.97,1.21,0.46,NL Central,2026-03-24 16:18:07.978623
TBR,79,83,114,37,10.110729456374902,6.93,21.24,28.18,3.56,1.41,AL East,2026-03-24 16:18:07.978623
TEX,81,81,119,46,9.988902655888358,18.0,18.85,36.85,4.71,2.16,AL West,2026-03-24 16:18:07.978623
TOR,89,73,129,51,9.940719192915752,27.52,36.92,64.44,13.77,7.26,AL East,2026-03-24 16:18:07.978623
WSN,66,96,105,34,9.70401458018526,0.66,3.43,4.08,0.14,0.05,NL East,2026-03-24 16:18:07.978623
