name,pid,team
Yoan López,17181,diamondbacks
Andy Young,19521,diamondbacks
Christian Walker,13419,diamondbacks
Wyatt Mathisen,14555,diamondbacks
Taylor Widener,19266,diamondbacks
Matt Peacock,sa3004019,diamondbacks
Merrill Kelly,11156,diamondbacks
Zac Gallen,19291,diamondbacks
Humberto Mejía,20739,diamondbacks
Joakim Soria,6941,diamondbacks
Stephen Vogt,5000,diamondbacks
Pavin Smith,19892,diamondbacks
Taylor Clarke,17611,diamondbacks
Alex Young,18333,diamondbacks
Stefan Crichton,16058,diamondbacks
Nick Ahmed,12147,diamondbacks
Caleb Smith,14875,diamondbacks
Corbin Martin,19884,diamondbacks
Jon Duplantier,19546,diamondbacks
Daulton Varsho,19918,diamondbacks
Ketel Marte,13613,diamondbacks
Geraldo Perdomo,sa3003290,diamondbacks
Humberto Castellanos,21183,diamondbacks
Tyler Clippard,5640,diamondbacks
Madison Bumgarner,5524,diamondbacks
Luke Weaver,16918,diamondbacks
Kevin Ginkel,19876,diamondbacks
J.B. Bukauskas,sa829263,diamondbacks
David Peralta,2136,diamondbacks
Eduardo Escobar,6153,diamondbacks
Josh VanMeter,15170,diamondbacks
Josh Rojas,19734,diamondbacks
Stuart Fairchild,sa829822,diamondbacks
Jeremy Beasley,20205,diamondbacks
Luis Frías,sa917588,diamondbacks
Riley Smith,19826,diamondbacks
Asdrúbal Cabrera,4962,diamondbacks
Kole Calhoun,11200,diamondbacks
Carson Kelly,13620,diamondbacks
Tim Locastro,15124,diamondbacks
Patrick Weigel,17792,braves
Vìctor Arano,15915,braves
Dansby Swanson,18314,braves
Phillip Ervin,14738,braves
Tyler Matzek,10058,braves
Freddie Freeman,5361,braves
Guillermo Heredia,18721,braves
Ian Anderson,19951,braves
Chris Martin,11847,braves
Mike Soroka,18383,braves
Drew Smyly,11760,braves
Kyle Muller,sa917931,braves
Alex Jackson,17276,braves
Luke Jackson,11752,braves
Ozzie Albies,16556,braves
Jacob Webb,19274,braves
Tucker Davidson,19871,braves
A.J. Minter,18655,braves
Bryse Wilson,19990,braves
Sean Newcomb,16943,braves
Grant Dayton,11203,braves
Abraham Almonte,5486,braves
Charlie Morton,4676,braves
Touki Toussaint,16929,braves
Cristian Pache,19948,braves
Ender Inciarte,4922,braves
Max Fried,13743,braves
Travis d'Arnaud,7739,braves
Jake Lamb,13329,braves
Marcell Ozuna,10324,braves
Jasseel De La Cruz,sa879559,braves
Austin Riley,18360,braves
Kyle Wright,19665,braves
Chad Sobotka,17470,braves
Josh Tomlin,9388,braves
Ronald Acuña Jr.,18401,braves
William Contreras,20503,braves
Will Smith,8048,braves
Huascar Ynoa,20468,braves
Johan Camargo,14950,braves
Chance Sisco,15694,orioles
Alexander Wells,sa919319,orioles
Pedro Severino,14523,orioles
Pat Valaika,14885,orioles
Ramón Urías,18795,orioles
Cedric Mullins,17929,orioles
Maikel Franco,12179,orioles
Rio Ruiz,14103,orioles
Anthony Santander,14551,orioles
Michael Baumann,sa829681,orioles
Ryan Mountcastle,18373,orioles
Yusniel Diaz,sa912848,orioles
Bruce Zimmermann,20370,orioles
Rylan Bannon,sa3004162,orioles
Dean Kremer,19350,orioles
Tyler Nevin,sa874752,orioles
Isaac Mattson,sa915667,orioles
John Means,16269,orioles
Shawn Armstrong,12857,orioles
Dillon Tate,17796,orioles
Tyler Wells,sa918346,orioles
Chris Davis,9272,orioles
Travis Lakins Sr.,18600,orioles
Jorge López,14527,orioles
Jahmai Jones,18872,orioles
Austin Hays,19363,orioles
Tanner Scott,17586,orioles
Paul Fry,15832,orioles
Freddy Galvis,6609,orioles
Cole Sulser,15256,orioles
DJ Stewart,17766,orioles
Yolmer Sánchez,11602,orioles
Zac Lowther,sa915645,orioles
Keegan Akin,19362,orioles
Cesar Valdez,9013,orioles
Ryan McKenna,sa875055,orioles
Richie Martin,17736,orioles
Mac Sceroler,sa915799,orioles
Trey Mancini,15149,orioles
Hudson Potts,sa917936,red-sox
Garrett Whitlock,sa3005306,red-sox
Josh Taylor,17359,red-sox
Austin Brice,17237,red-sox
Kevin Plawecki,13807,red-sox
Michael Chavis,17321,red-sox
Ronaldo Hernández,sa881850,red-sox
Hirokazu Sawamura,sa3014741,red-sox
Rafael Devers,17350,red-sox
Marwin Gonzalez,5497,red-sox
Adam Ottavino,1247,red-sox
Alex Verdugo,17027,red-sox
Tanner Houck,19879,red-sox
Enrique Hernández,10472,red-sox
