"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","playerid"
"Aaron Judge","NYY","60","259","223","62","10","0","18","42","43","31","68","2","3","1","",".276",".367",".560",".926",".393","","2.0","0.1","","2.8","15640"
"José Ramírez","CLE","62","270","234","64","16","2","13","40","44","31","34","2","10","3","",".271",".359",".527",".887",".376","","1.1","1.1","","2.7","13510"
"Juan Soto","WSN","60","257","202","58","11","1","13","41","38","52","38","2","4","2","",".288",".435",".539",".974",".416","","-0.9","-0.4","","2.6","20123"
"Trea Turner","LAD","62","267","244","72","14","1","10","39","36","18","48","2","11","2","",".295",".346",".484",".831",".358","","-0.8","1.5","","2.4","16252"
"Mookie Betts","LAD","58","250","216","59","13","1","12","42","31","28","39","3","6","2","",".273",".362",".501",".863",".372","","3.8","0.7","","2.4","13611"
"Nolan Arenado","STL","60","259","233","63","13","1","12","32","39","22","37","2","1","1","",".270",".334",".485",".819",".350","","3.1","-0.1","","2.3","9777"
"Kyle Tucker","HOU","59","253","225","62","13","1","13","36","42","25","44","1","9","2","",".276",".350",".520",".869",".371","","1.4","0.8","","2.2","18345"
"Freddie Freeman","LAD","62","270","233","69","15","1","11","40","39","31","45","3","3","1","",".295",".382",".512",".893",".381","","0.5","0.0","","2.1","5361"
"Yordan Alvarez","HOU","54","234","203","58","12","1","16","37","44","27","51","2","1","0","",".288",".374",".583",".957",".403","","0.0","-0.2","","2.1","19556"
"Ronald Acuña Jr.","ATL","56","241","204","55","11","1","12","40","30","30","59","5","12","4","",".269",".372",".502",".874",".377","","1.0","1.2","","2.1","18401"
"Vladimir Guerrero Jr.","TOR","61","265","232","68","12","0","16","42","44","29","42","2","1","1","",".293",".374",".552",".926",".394","","0.1","-0.5","","2.1","19611"
"Corey Seager","TEX","56","242","214","59","12","1","11","34","34","23","39","2","2","0","",".277",".350",".496",".846",".363","","-0.7","0.1","","2.1","13624"
"Francisco Lindor","NYM","60","260","231","58","11","1","10","35","35","24","48","3","6","2","",".250",".325",".442",".768",".332","","1.7","0.0","","2.0","12916"
"Alex Bregman","HOU","59","253","214","56","14","0","9","34","35","34","34","3","1","0","",".261",".369",".459",".827",".361","","-0.2","-0.4","","2.0","17678"
"Carlos Correa","MIN","57","246","217","59","13","0","10","34","33","26","48","2","0","0","",".273",".352",".469",".821",".356","","0.4","-0.1","","2.0","14162"
"Xander Bogaerts","BOS","60","261","231","66","16","0","8","34","34","26","49","2","3","1","",".287",".361",".465",".827",".359","","-0.9","0.3","","2.0","12161"
"Manny Machado","SDP","56","244","217","59","11","1","11","33","36","24","42","1","4","1","",".274",".348",".477",".825",".353","","1.0","0.0","","2.0","11493"
"Paul Goldschmidt","STL","60","259","227","65","13","0","12","37","38","28","55","1","3","1","",".285",".366",".504",".870",".375","","0.2","0.1","","2.0","9218"
"Julio Rodríguez","SEA","54","231","209","57","11","1","10","31","30","17","58","3","10","3","",".273",".336",".471",".806",".348","","1.5","0.5","","1.9","23697"
"Byron Buxton","MIN","52","227","207","51","12","2","14","34","33","14","61","3","5","1","",".246",".302",".520",".822",".350","","2.9","0.8","","1.9","14161"
"Rafael Devers","BOS","51","220","199","58","14","1","12","34","35","17","43","2","2","1","",".290",".352",".546",".898",".381","","-1.4","0.1","","1.9","17350"
"Pete Alonso","NYM","60","260","226","59","11","1","16","36","45","26","56","6","1","0","",".262",".349",".530",".879",".373","","-0.3","-0.8","","1.8","19251"
