"Name","Team","GS","G","IP","W","L","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","-1","ADP","playerid"
"Gerrit Cole","NYY","32","32","199.0","16","8","0","0","154","68","25","267","52","1.04","12.08","2.34","3.06","2.97","","5.8","5.8","","7.7","13125"
"Jacob deGrom","NYM","26","26","153.0","11","5","0","0","105","41","15","218","34","0.91","12.83","2.01","2.42","2.33","","5.6","5.4","","23.7","10954"
"Zack Wheeler","PHI","32","32","207.0","14","9","0","0","185","79","22","214","51","1.14","9.31","2.21","3.43","3.36","","5.1","4.9","","24.2","10310"
"Corbin Burnes","MIL","29","29","174.0","12","7","0","0","135","58","17","224","53","1.08","11.60","2.72","3.01","2.91","","5.0","5.1","","11.2","19361"
"Shane Bieber","CLE","31","31","189.0","13","8","0","0","160","68","23","237","49","1.10","11.25","2.33","3.24","3.14","","4.8","5.1","","32.8","19427"
"Max Scherzer","NYM","31","31","188.0","13","8","0","0","146","68","27","247","47","1.03","11.86","2.27","3.25","3.27","","4.5","4.4","","20.2","3137"
"Brandon Woodruff","MIL","31","31","183.0","12","8","0","0","155","69","22","210","49","1.12","10.36","2.42","3.41","3.35","","4.2","4.4","","20.4","16162"
"Aaron Nola","PHI","32","32","191.0","12","9","0","0","166","78","27","217","54","1.15","10.26","2.54","3.68","3.68","","4.1","3.9","","41.1","16149"
"Logan Webb","SFG","32","32","184.0","12","8","0","0","170","69","15","183","53","1.21","8.94","2.58","3.36","3.26","","4.0","4.1","","67.8","17995"
"Lucas Giolito","CHW","31","31","181.0","13","9","0","0","150","74","27","215","58","1.15","10.69","2.89","3.69","3.75","","3.9","3.8","","44.6","15474"
"Eduardo Rodriguez","DET","32","32","183.0","12","11","0","0","169","74","21","193","58","1.24","9.49","2.86","3.66","3.62","","3.9","4.0","","156.7","13164"
"Walker Buehler","LAD","32","32","196.0","13","8","0","0","173","80","27","207","52","1.15","9.48","2.40","3.68","3.74","","3.8","3.6","","18.4","19374"
"Nathan Eovaldi","BOS","31","31","178.0","12","8","0","0","172","76","22","185","43","1.20","9.34","2.15","3.84","3.57","","3.8","3.9","","139.1","9132"
"Robbie Ray","SEA","32","32","193.0","12","9","0","0","151","77","30","253","66","1.12","11.77","3.05","3.57","3.70","","3.7","4.0","","49.7","11486"
"Luis Castillo","CIN","32","32","192.0","14","10","0","0","175","82","22","202","71","1.29","9.49","3.35","3.84","3.82","","3.7","3.9","","93.1","15689"
"Sandy Alcantara","MIA","32","32","200.0","12","10","0","0","180","81","21","195","60","1.21","8.78","2.72","3.65","3.64","","3.5","3.6","","42.1","18684"
"Justin Verlander","","29","29","180.0","14","8","0","0","145","70","31","220","40","1.03","10.99","2.01","3.51","3.73","","3.4","4.1","","100.5","8700"
"Max Fried","ATL","31","31","183.0","14","9","0","0","170","72","20","174","50","1.20","8.59","2.44","3.56","3.62","","3.4","4.0","","72.4","13743"
"Kevin Gausman","TOR","32","32","187.0","13","9","0","0","168","79","26","202","49","1.16","9.73","2.37","3.77","3.73","","3.4","4.1","","70.3","14107"
"Julio Urías","LAD","32","32","186.0","13","9","0","0","169","78","26","189","47","1.16","9.11","2.26","3.75","3.86","","3.4","3.3","","36.8","14765"
"Chris Sale","BOS","28","28","149.0","11","7","0","0","128","59","18","185","42","1.14","11.19","2.56","3.56","3.36","","3.3","3.6","","59.6","10603"
"Charlie Morton","ATL","29","29","165.0","12","7","0","0","142","65","18","184","54","1.19","10.04","2.95","3.57","3.58","","3.2","3.7","","97.0","4676"
"José Berríos","TOR","32","32","196.0","13","9","0","0","180","85","27","201","53","1.19","9.26","2.44","3.90","3.93","","3.2","4.0","","78.7","14168"
"Freddy Peralta","MIL","29","29","159.0","11","8","0","0","124","68","22","207","68","1.20","11.70","3.83","3.86","3.85","","3.2","2.9","","54.3","18679"
"Frankie Montas","OAK","31","31","177.0","12","10","0","0","159","71","23","190","53","1.20","9.67","2.71","3.63","3.70","","3.2","3.5","","93.8","14309"
"Germán Márquez","COL","32","32","191.0","12","11","0","0","198","96","27","185","62","1.36","8.70","2.90","4.53","4.10","","3.2","3.1","","267.6","15038"
"Lance Lynn","CHW","31","31","181.0","12","10","0","0","166","80","28","193","59","1.24","9.60","2.91","3.99","4.11","","3.1","3.1","","70.6","2520"
"Dylan Cease","CHW","31","31","163.0","11","9","0","0","137","72","22","200","71","1.28","11.06","3.91","3.96","3.95","","3.1","2.9","","84.5","18525"
"Shohei Ohtani","LAA","28","28","156.0","9","7","0","0","131","63","19","183","56","1.20","10.55","3.25","3.67","3.70","","3.1","3.3","","9.6","19755"
"Joe Musgrove","SDP","31","31","179.0","12","9","0","0","159","74","24","190","51","1.17","9.58","2.56","3.72","3.83","","3.1","3.1","","73.1","12970"
"Sean Manaea","OAK","31","31","175.0","12","10","0","0","164","72","24","176","41","1.17","9.01","2.12","3.67","3.79","","3.0","3.4","","142.6","15873"
"Carlos Rodón","","28","28","150.0","11","8","0","0","125","62","21","185","52","1.18","11.14","3.16","3.75","3.74","","3.0","3.0","","122.6","16137"
"Clayton Kershaw","","26","26","148.0","11","7","0","0","133","58","22","158","33","1.12","9.61","2.00","3.55","3.67","","3.0","3.3","","164.9","2036"
"Framber Valdez","HOU","31","31","187.0","13","9","0","0","173","79","17","174","78","1.35","8.41","3.76","3.79","3.95","","2.9","3.4","","150.6","17295"
"Noah Syndergaard","LAA","28","28","161.0","9","8","0","0","164","76","23","143","42","1.28","7.98","2.34","4.24","4.13","","2.8","2.2","","210.9","11762"
"Ranger Suárez","PHI","29","29","173.0","11","9","0","0","162","76","20","160","61","1.29","8.29","3.16","3.93","4.00","","2.8","2.9","","176.4","17277"
"Jordan Montgomery","NYY","29","29","158.0","9","7","0","0","150","70","23","162","47","1.25","9.21","2.70","3.97","3.97","","2.8","2.7","","211.6","16511"
"Nick Martínez","","23","23","136.0","9","6","0","0","123","57","14","134","46","1.25","8.86","3.07","3.79","3.61","","2.7","2.2","","499.5","12730"
"Marcus Stroman","CHC","32","32","184.0","12","11","0","0","187","82","22","152","53","1.31","7.41","2.61","4.01","4.06","","2.7","3.0","","182.9","13431"
"Michael Kopech","CHW","23","43","147.0","10","7","0","1","121","62","20","190","61","1.24","11.62","3.75","3.79","3.79","","2.7","2.6","","164.6","17282"
"Tyler Mahle","CIN","31","31","169.0","10","9","0","0","159","81","27","184","61","1.31","9.82","3.27","4.35","4.27","","2.7","2.5","","130.7","16358"
"Yu Darvish","SDP","29","29","165.0","10","9","0","0","146","73","25","185","50","1.18","10.05","2.70","3.98","3.94","","2.7","2.4","","102.0","13074"
"Hyun Jin Ryu","TOR","31","31","175.0","13","9","0","0","174","76","24","150","39","1.22","7.71","2.00","3.90","3.98","","2.7","3.6","","206.2","14444"
"Trevor Rogers","MIA","28","28","146.0","10","8","0","0","126","58","17","166","52","1.21","10.19","3.17","3.54","3.59","","2.7","2.8","","93.7","22286"
"Pablo López","MIA","29","29","155.0","10","9","0","0","143","64","18","154","41","1.19","8.98","2.40","3.71","3.71","","2.7","2.6","","137.4","17085"
"Mike Clevinger","SDP","24","24","141.0","10","7","0","0","120","56","18","155","47","1.19","9.87","3.01","3.60","3.74","","2.6","2.7","","186.6","12808"
"Blake Snell","SDP","29","29","151.0","10","8","0","0","123","62","20","185","67","1.26","11.07","3.97","3.73","3.79","","2.6","2.7","","114.8","13543"
"Chris Bassitt","OAK","31","31","178.0","10","9","0","0","163","76","22","167","51","1.20","8.47","2.60","3.86","3.97","","2.6","3.0","","136.5","12304"
"Stephen Strasburg","WSN","26","26","151.0","10","9","0","0","141","69","21","156","51","1.27","9.27","3.01","4.09","4.03","","2.5","2.5","","284.1","10131"
"Sonny Gray","CIN","29","29","157.0","10","9","0","0","143","73","21","167","63","1.31","9.53","3.58","4.16","4.15","","2.5","2.6","","177.6","12768"
"John Means","BAL","29","29","165.0","11","11","0","0","159","79","31","150","38","1.19","8.19","2.07","4.32","4.60","","2.5","2.4","","221.2","16269"
"Luis Severino","NYY","24","38","151.0","11","8","0","1","141","65","21","157","44","1.22","9.34","2.64","3.86","3.84","","2.5","2.6","","176.8","15890"
"Lance McCullers Jr.","HOU","24","24","137.0","9","6","0","0","117","55","14","151","58","1.28","9.89","3.82","3.63","3.74","","2.4","2.8","","181.3","14120"
"Jack Flaherty","STL","31","31","168.0","11","9","0","0","144","70","24","183","56","1.19","9.82","2.98","3.74","3.96","","2.4","2.9","","77.3","17479"
"Luis Garcia","HOU","29","29","160.0","11","9","0","0","146","73","24","170","57","1.27","9.57","3.19","4.11","4.13","","2.4","2.4","","147.9","23735"
"Trevor Bauer","LAD","21","21","128.0","9","6","0","0","106","53","19","153","43","1.16","10.73","3.01","3.70","3.83","","2.4","2.3","","200.2","12703"
"Alex Wood","SFG","29","29","158.0","10","8","0","0","149","66","19","159","47","1.24","9.07","2.66","3.78","3.82","","2.3","2.6","","222.0","13781"
"Zac Gallen","ARI","31","31","173.0","11","10","0","0","159","80","25","186","64","1.29","9.69","3.32","4.20","4.14","","2.3","2.6","","133.7","19291"
"Shane McClanahan","TBR","28","28","148.0","11","8","0","0","132","61","20","165","51","1.23","10.01","3.08","3.72","3.78","","2.3","2.7","","110.3","21483"
"Alek Manoah","TOR","26","26","141.0","10","7","0","0","119","60","19","160","51","1.21","10.26","3.26","3.84","4.01","","2.2","3.0","","97.8","26410"
"Patrick Corbin","WSN","29","29","172.0","11","10","0","0","175","83","26","161","55","1.34","8.41","2.87","4.33","4.29","","2.2","2.2","","415.7","9323"
"Ian Anderson","ATL","29","29","156.0","10","8","0","0","141","71","19","160","68","1.34","9.24","3.92","4.09","4.12","","2.2","2.4","","151.0","19951"
"Liam Hendriks","CHW","0","68","68.0","5","3","29","2","49","21","9","100","16","0.97","13.21","2.17","2.84","2.75","","2.2","2.2","","31.3","3548"
"Patrick Sandoval","LAA","26","26","143.0","9","8","0","0","130","64","20","155","59","1.32","9.75","3.70","4.02","4.16","","2.2","2.4","","207.7","19447"
"Jon Gray","TEX","31","31","169.0","11","11","0","0","161","79","23","172","62","1.32","9.19","3.33","4.22","4.16","","2.1","2.3","","243.7","14916"
"Mike Minor","KCR","29","29","170.0","10","10","0","0","168","84","26","152","49","1.28","8.05","2.59","4.43","4.35","","2.1","2.4","","496.2","10021"
"Tarik Skubal","DET","29","29","153.0","10","10","0","0","141","71","25","165","51","1.26","9.70","2.99","4.19","4.24","","2.1","2.4","","200.5","22267"
"Josh Hader","MIL","0","67","67.0","5","2","26","2","40","20","8","111","27","0.99","14.91","3.60","2.64","2.74","","2.1","2.4","","29.9","14212"
"Jameson Taillon","NYY","28","28","146.0","9","8","0","0","142","72","24","139","42","1.27","8.59","2.61","4.46","4.41","","2.0","1.8","","305.6","11674"
"Antonio Senzatela","COL","31","31","174.0","8","10","0","0","204","97","24","122","49","1.45","6.30","2.51","5.01","4.58","","2.0","2.0","","584.1","15488"
"Alex Cobb","SFG","28","28","149.0","10","9","0","0","147","67","17","135","48","1.31","8.12","2.88","4.05","3.91","","2.0","1.9","","252.9","6562"
"Carlos Carrasco","NYM","26","26","140.0","10","9","0","0","133","63","21","145","42","1.25","9.28","2.71","4.05","4.04","","2.0","1.6","","290.0","6632"
"Anthony DeSclafani","SFG","31","31","168.0","10","10","0","0","165","80","24","149","48","1.27","7.96","2.56","4.28","4.16","","2.0","1.8","","215.5","13050"
"Shane Baz","TBR","21","21","104.0","7","5","0","0","89","42","13","119","34","1.18","10.27","2.95","3.62","3.67","","2.0","2.0","","134.3","22264"
"Brady Singer","KCR","28","28","141.0","9","9","0","0","142","66","17","130","53","1.38","8.33","3.36","4.24","4.16","","1.9","2.3","","463.3","25377"
"Emmanuel Clase","CLE","0","67","67.0","5","3","31","2","54","20","5","79","20","1.10","10.65","2.73","2.69","2.70","","1.9","2.3","","56.3","21032"
"Yusei Kikuchi","SEA","28","28","149.0","9","9","0","0","145","70","21","143","52","1.32","8.65","3.16","4.24","4.21","","1.9","2.0","","345.7","20633"
"Zack Greinke","","28","28","159.0","9","9","0","0","163","76","25","126","36","1.25","7.14","2.01","4.30","4.37","","1.9","2.0","","312.8","1943"
"Taylor Rogers","MIN","0","67","67.0","5","3","24","4","55","21","6","84","18","1.09","11.31","2.40","2.86","2.80","","1.9","2.1","","185.4","13449"
"Dane Dunning","TEX","28","28","140.0","9","8","0","0","141","66","17","127","49","1.36","8.18","3.16","4.26","4.17","","1.9","1.8","","444.1","19409"
"Adam Wainwright","STL","31","31","190.0","12","11","0","0","190","89","27","151","55","1.29","7.17","2.63","4.25","4.41","","1.8","2.1","","202.6","2233"
"Steven Matz","STL","29","29","155.0","10","10","0","0","152","72","22","139","49","1.30","8.08","2.84","4.14","4.29","","1.8","1.9","","253.1","13361"
"Joe Ryan","MIN","24","24","129.0","8","7","0","0","118","61","21","135","36","1.20","9.41","2.48","4.24","4.15","","1.8","1.9","","226.3","21390"
"Nick Pivetta","BOS","29","29","157.0","10","9","0","0","151","83","25","163","63","1.36","9.33","3.62","4.74","4.47","","1.8","1.8","","368.1","15454"
"Bailey Ober","MIN","26","26","132.0","7","6","0","0","131","64","23","130","33","1.25","8.88","2.28","4.37","4.30","","1.8","1.8","","267.0","21224"
"Kyle Gibson","PHI","32","32","187.0","11","11","0","0","189","96","28","162","71","1.39","7.78","3.43","4.60","4.64","","1.8","1.7","","381.5","10123"
"Marco Gonzales","SEA","31","31","181.0","10","12","0","0","183","90","30","140","49","1.29","6.99","2.43","4.49","4.67","","1.8","1.8","","319.5","15467"
"Raisel Iglesias","LAA","0","70","70.0","6","3","31","2","55","24","9","95","19","1.05","12.20","2.41","3.03","3.03","","1.8","2.0","","47.2","17130"
"Casey Mize","DET","31","31","161.0","9","10","0","0","162","79","23","133","49","1.30","7.39","2.73","4.39","4.46","","1.8","2.0","","281.4","20492"
"José Quintana","PIT","28","28","149.0","8","9","0","0","150","74","21","140","58","1.39","8.46","3.47","4.49","4.36","","1.8","1.4","","558.7","11423"
"Ryan Yarbrough","TBR","24","24","161.0","9","9","0","0","167","78","23","119","37","1.26","6.67","2.05","4.35","4.43","","1.8","1.6","","520.5","16502"
"Corey Kluber","TBR","26","26","142.0","9","7","0","0","134","64","20","137","46","1.27","8.68","2.93","4.05","4.15","","1.7","2.0","","336.0","2429"
"Wade Miley","CHC","29","29","163.0","10","10","0","0","172","79","21","119","56","1.40","6.58","3.09","4.35","4.51","","1.7","2.0","","458.4","8779"
"José Urquidy","HOU","26","26","137.0","8","8","0","0","135","68","24","122","33","1.23","8.05","2.20","4.48","4.51","","1.7","1.5","","209.6","18413"
"Logan Gilbert","SEA","26","26","133.0","8","8","0","0","123","61","22","138","37","1.21","9.37","2.53","4.17","4.23","","1.7","1.8","","162.4","22250"
