"Name","Team","GS","G","IP","W","L","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","playerid"
"Gerrit Cole","NYY","11","11","69.0","5","3","0","0","54","23","8","92","17","1.04","11.96","2.27","3.05","2.87","","1.8","1.7","13125"
"Jacob deGrom","NYM","9","9","52.0","4","2","0","0","36","14","5","73","11","0.91","12.61","1.94","2.38","2.22","","1.8","1.7","10954"
"Corbin Burnes","MIL","11","11","68.0","5","3","0","0","53","23","7","88","20","1.08","11.68","2.63","3.06","2.88","","1.7","1.8","19361"
"Zack Wheeler","PHI","12","12","74.0","5","3","0","0","66","27","7","76","18","1.14","9.30","2.14","3.36","3.20","","1.7","1.7","10310"
"Max Scherzer","NYM","11","11","69.0","5","3","0","0","54","23","9","89","16","1.01","11.60","2.12","3.07","3.05","","1.6","1.7","3137"
"Aaron Nola","PHI","12","12","72.0","5","3","0","0","63","27","9","81","17","1.10","10.18","2.07","3.44","3.31","","1.6","1.5","16149"
"Shohei Ohtani","LAA","11","11","61.0","4","3","0","0","47","21","7","80","19","1.08","11.79","2.74","3.10","2.95","","1.6","1.4","19755"
"Carlos Rodón","SFG","11","11","62.0","5","3","0","0","50","22","6","79","20","1.13","11.35","2.94","3.20","2.93","","1.5","1.4","16137"
"Kevin Gausman","TOR","12","12","68.0","5","3","0","0","59","25","8","74","16","1.10","9.84","2.06","3.34","3.19","","1.5","1.6","14107"
"Shane Bieber","CLE","11","11","69.0","4","3","0","0","62","26","8","78","17","1.15","10.15","2.26","3.37","3.18","","1.5","1.4","19427"
"Justin Verlander","HOU","11","11","69.0","5","3","0","0","56","25","10","78","14","1.02","10.18","1.84","3.32","3.50","","1.4","1.5","8700"
"Brandon Woodruff","MIL","11","11","64.0","5","3","0","0","53","23","7","76","17","1.10","10.64","2.45","3.29","3.14","","1.4","1.6","16162"
"Max Fried","ATL","11","11","67.0","5","3","0","0","61","24","6","63","16","1.16","8.45","2.15","3.24","3.21","","1.4","1.7","13743"
