START DATE,away,home,SUBJECT,START TIME,datetime
2025-03-27,BAL,TOR,Orioles at Blue Jays,03:07 PM,2025-03-27 19:07:00+00:00
2025-03-28,BAL,TOR,Orioles at Blue Jays,07:07 PM,2025-03-28 23:07:00+00:00
2025-03-29,BAL,TOR,Orioles at Blue Jays,03:07 PM,2025-03-29 19:07:00+00:00
2025-03-30,BAL,TOR,Orioles at Blue Jays,01:37 PM,2025-03-30 17:37:00+00:00
2025-03-31,WSN,TOR,Nationals at Blue Jays,07:07 PM,2025-03-31 23:07:00+00:00
2025-04-01,WSN,TOR,Nationals at Blue Jays,07:07 PM,2025-04-01 23:07:00+00:00
2025-04-02,WSN,TOR,Nationals at Blue Jays,03:07 PM,2025-04-02 19:07:00+00:00
2025-04-04,TOR,NYM,Blue Jays at Mets,03:10 PM,2025-04-04 19:10:00+00:00
2025-04-05,TOR,NYM,Blue Jays at Mets,07:10 PM,2025-04-05 23:10:00+00:00
2025-04-06,TOR,NYM,Blue Jays at Mets,01:40 PM,2025-04-06 17:40:00+00:00
2025-04-07,TOR,BOS,Blue Jays at Red Sox,06:45 PM,2025-04-07 22:45:00+00:00
2025-04-08,TOR,BOS,Blue Jays at Red Sox,06:45 PM,2025-04-08 22:45:00+00:00
2025-04-09,TOR,BOS,Blue Jays at Red Sox,06:45 PM,2025-04-09 22:45:00+00:00
2025-04-10,TOR,BOS,Blue Jays at Red Sox,12:00 AM,2025-04-10 04:00:00+00:00
2025-04-11,TOR,BAL,Blue Jays at Orioles,07:05 PM,2025-04-11 23:05:00+00:00
2025-04-12,TOR,BAL,Blue Jays at Orioles,04:05 PM,2025-04-12 20:05:00+00:00
2025-04-13,TOR,BAL,Blue Jays at Orioles,01:35 PM,2025-04-13 17:35:00+00:00
2025-04-14,ATL,TOR,Braves at Blue Jays,07:07 PM,2025-04-14 23:07:00+00:00
2025-04-15,ATL,TOR,Braves at Blue Jays,07:07 PM,2025-04-15 23:07:00+00:00
2025-04-16,ATL,TOR,Braves at Blue Jays,01:07 PM,2025-04-16 17:07:00+00:00
2025-04-18,SEA,TOR,Mariners at Blue Jays,07:07 PM,2025-04-18 23:07:00+00:00
2025-04-19,SEA,TOR,Mariners at Blue Jays,03:07 PM,2025-04-19 19:07:00+00:00
2025-04-20,SEA,TOR,Mariners at Blue Jays,01:37 PM,2025-04-20 17:37:00+00:00
2025-04-21,TOR,HOU,Blue Jays at Astros,12:00 AM,2025-04-21 04:00:00+00:00
2025-04-22,TOR,HOU,Blue Jays at Astros,12:00 AM,2025-04-22 04:00:00+00:00
2025-04-23,TOR,HOU,Blue Jays at Astros,12:00 AM,2025-04-23 04:00:00+00:00
